h,quarter,shock_tailwind,var_lags_p,tailwind_impact_h0_per_1orth,scale_factor,gdp_growth_pp_qoq_ann,gdp_growth_pp_qoq_ann_lo95,gdp_growth_pp_qoq_ann_hi95,cum_gdp_level_pct,cum_gdp_level_pct_lo95,cum_gdp_level_pct_hi95
0,2025Q4,0.1,2,0.28468499513726986,0.35126543972499097,0.23446873053159614,0.001001235591829925,0.4813886857531198,0.05863436586066584,0.00025030921122493055,0.12041961770608012
1,2026Q1,0.1,2,0.28468499513726986,0.35126543972499097,0.4273904336018768,0.19181589782900435,0.668539855055426,0.16560175955320222,0.04821590348693672,0.28789576136456496
2,2026Q2,0.1,2,0.28468499513726986,0.35126543972499097,0.1255015048417459,-0.05006433251682771,0.26076122502075644,0.19703402467656783,0.035694569221811356,0.35329506243451103
3,2026Q3,0.1,2,0.28468499513726986,0.35126543972499097,0.05302135588740652,-0.09024864424371035,0.17447031005777164,0.2103163614662229,0.013126900667281838,0.39707628615714974
4,2026Q4,0.1,2,0.28468499513726986,0.35126543972499097,0.028410721451257396,-0.0941680026076065,0.1250945058329073,0.2174342327047718,-0.010415419044385033,0.4284790028980856
5,2027Q1,0.1,2,0.28468499513726986,0.35126543972499097,0.008258980951231665,-0.08565540487661306,0.08875307309284361,0.2195034887678915,-0.03182474755851761,0.4507648155684718
6,2027Q2,0.1,2,0.28468499513726986,0.35126543972499097,0.000683540786453091,-0.06741398360687167,0.06551084886946477,0.21967474920980834,-0.04867146020781643,0.46721770001636465
7,2027Q3,0.1,2,0.28468499513726986,0.35126543972499097,-0.0016023834365468152,-0.04393183247385272,0.05038143392698316,0.21927327414688058,-0.05964846994895856,0.47987270319711506
8,2027Q4,0.1,2,0.28468499513726986,0.35126543972499097,-0.0021611353567652643,-0.02839213060762786,0.03827445776175182,0.21873180707234763,-0.06674201697887128,0.48948769480972043
9,2028Q1,0.1,2,0.28468499513726986,0.35126543972499097,-0.00190377042533218,-0.018816067028145707,0.029986150187825397,0.21825482456323542,-0.07144278361695955,0.49702120935835037
10,2028Q2,0.1,2,0.28468499513726986,0.35126543972499097,-0.0014257870335479326,-0.011381856100581351,0.024342684077426673,0.21789760047925544,-0.07428617430937923,0.5031373135545136
11,2028Q3,0.1,2,0.28468499513726986,0.35126543972499097,-0.0009838327751154224,-0.0062806420916132035,0.01904812751015935,0.21765110665161735,-0.0758551561023002,0.5079234189483417
12,2028Q4,0.1,2,0.28468499513726986,0.35126543972499097,-0.000640519029871604,-0.003888842322027651,0.014692536765788062,0.21749062849845124,-0.07682662448857958,0.5116152776516003
